id;jumlah_barang_dipesan;jumlah_barang_masuk;batch;tgl_expired;keterangan;harga_beli;status_barang_masuk;beli_id;barang_id;created_at;updated_at
835;16;16;C0360082;2027-09-01;NULL;17100;LENGKAP;257;1185;NULL;NULL
836;240;240;M42250702;2030-06-01;NULL;7550;LENGKAP;258;1264;NULL;NULL
837;25;25;RS558301;2029-12-01;NULL;12540;LENGKAP;258;1608;NULL;NULL
838;5;5;RS5529501;2029-02-01;NULL;12540;LENGKAP;258;1608;NULL;NULL
839;48;48;M46250707;2030-06-01;NULL;26830;LENGKAP;258;1607;NULL;NULL
840;0;0;CSM21007;2026-10-01;NULL;12540;LENGKAP;258;1474;NULL;NULL
842;300;300;SCG42354;2029-06-01;NULL;5000;LENGKAP;259;43;NULL;NULL
843;21000;21000;2A1A6A128;2028-01-30;NULL;6913;LENGKAP;260;810;NULL;NULL
845;40;40;F5L459;2027-11-30;NULL;31000;LENGKAP;261;1609;NULL;NULL
851;25;25;E24K0470A;2027-11-30;NULL;350000;LENGKAP;263;1594;NULL;NULL
852;101;101;KCMYCD52461;2027-04-30;NULL;18000;LENGKAP;264;1244;NULL;NULL
853;96;96;KTPRGR53359;2028-06-30;NULL;21535;LENGKAP;264;643;NULL;NULL
854;125;125;PIJ93754;2027-08-01;NULL;200000;LENGKAP;265;72;NULL;NULL
855;12;12;PIK09354;2030-09-01;NULL;400000;LENGKAP;265;57;NULL;NULL
856;81;81;PIK09454;2030-09-01;NULL;400000;LENGKAP;265;57;NULL;NULL
857;100;100;PSG74254;2027-06-01;NULL;40000;LENGKAP;265;59;NULL;NULL
858;200;200;PSG74254;2027-06-01;NULL;40000;LENGKAP;266;59;NULL;NULL
860;200;200;PIG39454;2029-06-01;NULL;50000;LENGKAP;267;44;NULL;NULL
861;5;5;25B4211;2028-01-31;NULL;525110;LENGKAP;268;1610;NULL;NULL
906;200;200;PSC22354;2029-02-01;NULL;60000;LENGKAP;267;70;NULL;NULL
914;35;35;MX5A179;2027-12-31;NULL;185000;LENGKAP;281;1578;NULL;NULL
917;100;100;472925A;2028-06-30;NULL;140000;LENGKAP;283;689;NULL;NULL
918;22;22;VE1472;2027-06-30;NULL;72000;LENGKAP;284;97;NULL;NULL
919;8;8;VF1551;2027-06-24;NULL;72000;LENGKAP;284;97;NULL;NULL
920;11;11;5TS1022;2028-04-30;NULL;46250;LENGKAP;285;855;NULL;NULL
921;30;30;5TS1127;2028-05-30;NULL;46250;LENGKAP;285;855;NULL;NULL
922;1;1;5CA1128;2028-05-30;NULL;46250;LENGKAP;285;855;NULL;NULL
923;5;5;2512082;2027-12-30;NULL;140000;LENGKAP;285;406;NULL;NULL
924;80;80;2512083;2027-12-30;NULL;140000;LENGKAP;285;406;NULL;NULL
933;20;20;L0635921;2028-06-30;NULL;421137;LENGKAP;290;607;NULL;NULL
934;8;8;L0463907;2028-05-30;NULL;421137;LENGKAP;291;607;NULL;NULL
935;12;12;L0635921;2028-06-30;NULL;421137;LENGKAP;291;607;NULL;NULL
936;1;1;N2511001;2027-11-30;NULL;112000;LENGKAP;173;1579;NULL;NULL
937;5000;5000;181A5L016;2027-12-30;NULL;6924;LENGKAP;292;512;NULL;NULL
938;5000;5000;1B2A68003;2028-02-28;NULL;7523;LENGKAP;292;835;NULL;NULL
942;120;120;2509019;2027-09-01;NULL;10300;LENGKAP;294;231;NULL;NULL
943;120;120;2512004;2027-12-02;NULL;14414;LENGKAP;294;1262;NULL;NULL
984;200;200;2512063;NULL;NULL;140000;LENGKAP;302;406;NULL;NULL
986;1;1;25C0009;2028-04-30;NULL;68100;LENGKAP;304;1286;NULL;NULL
987;19;19;25F0136;2028-07-31;NULL;68100;LENGKAP;304;1286;NULL;NULL
989;50;50;PIG50954;2027-06-01;NULL;120000;LENGKAP;305;1160;NULL;NULL
990;100;100;5H170320;2030-08-30;NULL;252500;LENGKAP;306;1627;NULL;NULL
996;30;30;N2512031;2028-01-30;NULL;112000;LENGKAP;307;1579;NULL;NULL
997;100;100;N2512025;2027-12-30;NULL;150000;LENGKAP;308;423;NULL;NULL
998;75;75;2601188;2028-01-30;NULL;50000;LENGKAP;308;1628;NULL;NULL
999;1;1;2511089;2027-11-01;NULL;220000;LENGKAP;308;1629;NULL;NULL
1000;29;29;2511101;2027-11-30;NULL;220000;LENGKAP;308;1629;NULL;NULL
1001;70;70;5CN1212;2028-06-30;NULL;30625;LENGKAP;309;1630;NULL;NULL
1002;130;130;630106;2029-01-01;NULL;36750;LENGKAP;309;1631;NULL;NULL
1003;37;37;5TS1128;2028-05-30;NULL;46250;LENGKAP;309;855;NULL;NULL
1005;10;10;IN01Z10;2027-09-30;NULL;307500;LENGKAP;309;404;NULL;NULL
1006;10;10;IN01Z08;2027-08-30;NULL;307500;LENGKAP;309;404;NULL;NULL
1012;10;10;C50974N;2027-07-21;NULL;230000;LENGKAP;311;1632;NULL;NULL
1013;100;100;L51976N;2027-12-18;NULL;20000;LENGKAP;311;1225;NULL;NULL
1016;17;17;5NL017;2027-11-30;NULL;10143;LENGKAP;313;1138;NULL;NULL
1017;133;133;5NM013;2027-12-31;NULL;10143;LENGKAP;313;1138;NULL;NULL
1018;150;150;5NJ131;2027-09-30;NULL;16670;LENGKAP;313;951;NULL;NULL
1019;150;150;0047001B;2027-03-31;NULL;92000;LENGKAP;314;1633;NULL;NULL
1020;8;8;T1440001;2027-02-28;NULL;364500;LENGKAP;315;1634;NULL;NULL
1021;15;15;T1440002;2027-08-31;NULL;364500;LENGKAP;315;1634;NULL;NULL
1022;235;235;86172033;2027-08-30;NULL;37500;LENGKAP;316;483;NULL;NULL
1023;65;65;86172033;2027-08-30;NULL;37500;LENGKAP;316;483;NULL;NULL
1024;48;48;86014031;2028-12-30;NULL;181500;LENGKAP;316;1570;NULL;NULL
1025;57;57;86052099;2028-10-30;NULL;66791;LENGKAP;316;1192;NULL;NULL
1026;96;96;5NM002;2027-12-31;NULL;14836;LENGKAP;317;1401;NULL;NULL
1027;96;96;5NL161;2027-11-30;NULL;14836;LENGKAP;317;1400;NULL;NULL
1028;18;18;TPEJ2;2028-08-30;NULL;646795;LENGKAP;318;1637;NULL;NULL
1029;15;15;TNDR1;2028-05-30;NULL;646795;LENGKAP;318;1637;NULL;NULL
1030;67;67;TNDR1;2028-05-30;NULL;646795;LENGKAP;319;1637;NULL;NULL
1031;2;2;TPAE3;2028-08-30;NULL;517141;LENGKAP;319;1636;NULL;NULL
1032;62;62;TNDL9;2028-05-30;NULL;517141;LENGKAP;320;1636;NULL;NULL
1033;2;2;TNDM1;2028-04-30;NULL;517141;LENGKAP;320;1636;NULL;NULL
1034;22;22;TPAE3;2028-08-30;NULL;517141;LENGKAP;320;1636;NULL;NULL
1035;23;23;TMFY1;2028-04-30;NULL;760936;LENGKAP;321;1635;NULL;NULL
1036;10;10;TMFY1;2028-04-30;NULL;760936;LENGKAP;321;1635;NULL;NULL
1037;17;17;TLWK5;2028-03-30;NULL;760936;LENGKAP;321;1635;NULL;NULL
1038;12;12;TNDM1;2028-04-30;NULL;517141;LENGKAP;321;1636;NULL;NULL
1041;200;200;FX5A028V;2027-06-30;NULL;61000;LENGKAP;323;1197;NULL;NULL
1042;10;10;A60156J;2028-01-22;NULL;250000;LENGKAP;324;271;NULL;NULL
1043;2260;2260;ZA1A6A160;2028-01-30;NULL;6913;LENGKAP;325;810;NULL;NULL
1044;13480;13480;2A1A6B037;2028-02-28;NULL;6913;LENGKAP;325;810;NULL;NULL
1045;960;960;2A1A6A128;2028-01-30;NULL;6913;LENGKAP;325;810;NULL;NULL
1046;2080;2080;2A1A6A183;2028-01-30;NULL;6913;LENGKAP;325;810;NULL;NULL
1047;1220;1220;2A1A6A126;2028-01-30;NULL;6913;LENGKAP;325;810;NULL;NULL
1050;4800;4800;3C1G50002;2028-03-30;NULL;3414;LENGKAP;325;628;NULL;NULL
1051;34;34;E25H0416A;2027-08-31;NULL;350000;LENGKAP;326;885;NULL;NULL
1059;409;409;PIM72154;2030-11-30;NULL;40000;LENGKAP;329;74;NULL;NULL
1061;411;411;PIM72854;2030-11-30;NULL;40000;LENGKAP;329;74;NULL;NULL
1062;180;180;PIM72954;2030-11-30;NULL;40000;LENGKAP;329;74;NULL;NULL
1064;31;31;2511222;2027-11-19;NULL;42896;LENGKAP;330;544;NULL;NULL
1065;119;119;2511104;2027-11-11;NULL;42896;LENGKAP;330;544;NULL;NULL
1066;50;50;PIG50954;2027-06-01;NULL;120000;LENGKAP;331;1160;NULL;NULL
1067;100;100;PSK04254;2027-09-30;NULL;40000;LENGKAP;331;59;NULL;NULL
1068;100;100;KPH41354;2028-07-01;NULL;110000;LENGKAP;332;791;NULL;NULL
1069;20;20;TPB17654;2030-01-01;NULL;200000;LENGKAP;332;1638;NULL;NULL
1070;300;300;PIB22755;2031-01-01;NULL;70000;LENGKAP;333;56;NULL;NULL
1073;74;74;FX5A028V;2027-06-30;NULL;61000;LENGKAP;335;1197;NULL;NULL
1074;40;40;KX5A353;2027-12-31;NULL;60655;LENGKAP;336;103;NULL;NULL
1075;10;10;25156103;2027-09-05;NULL;105931;LENGKAP;336;1136;NULL;NULL
1076;10;10;E25H0367A;2028-07-31;NULL;458250;LENGKAP;337;178;NULL;NULL
1077;12;12;E25I0433A;2028-08-31;NULL;275000;LENGKAP;337;717;NULL;NULL
1078;18;18;E25J0559A;2028-10-31;NULL;275000;LENGKAP;337;717;NULL;NULL
1079;30;30;E25G0345A;2028-07-31;NULL;300000;LENGKAP;337;917;NULL;NULL
1080;120;120;B36605;2029-02-18;NULL;10699;LENGKAP;338;3;NULL;NULL
1081;450;450;A40602;2030-01-26;NULL;14054;LENGKAP;338;9;NULL;NULL
1083;300;300;A40612;2030-01-28;NULL;15315;LENGKAP;338;17;NULL;NULL
1084;300;300;E36512;2028-05-22;NULL;5946;LENGKAP;338;14;NULL;NULL
1085;600;600;A40628;2029-01-31;NULL;12973;LENGKAP;338;7;NULL;NULL
1086;768;768;B37603;2029-02-18;NULL;9225;LENGKAP;338;21;NULL;NULL
1090;200;200;I2202605;2029-02-28;NULL;20175;LENGKAP;339;566;NULL;NULL
1092;864;864;13101638;2028-02-29;NULL;5637;LENGKAP;339;571;NULL;NULL
1093;240;240;14102601B;2029-02-28;NULL;4919;LENGKAP;339;584;NULL;NULL
1095;13;13;5X61027;2028-04-30;NULL;26900;LENGKAP;341;86;NULL;NULL
1096;20;20;5X61015;2028-04-30;NULL;26900;LENGKAP;341;86;NULL;NULL
1097;40;40;5X61029;2028-04-30;NULL;26900;LENGKAP;341;86;NULL;NULL
1098;27;27;6X60128;2028-07-31;NULL;26900;LENGKAP;341;86;NULL;NULL
1099;50;50;N2512025;2027-12-30;NULL;150000;LENGKAP;341;423;NULL;NULL
1100;1;1;2511089;2027-11-30;NULL;220000;LENGKAP;341;1629;NULL;NULL
1101;101;101;2511101;2027-11-30;NULL;220000;LENGKAP;341;1629;NULL;NULL
1102;300;300;JR1002;2029-10-30;NULL;9123;LENGKAP;342;868;NULL;NULL
1103;25;25;A3611;2028-11-30;NULL;62920;LENGKAP;342;229;NULL;NULL
1105;200;200;6085009;2031-01-31;NULL;44275;LENGKAP;342;221;NULL;NULL
1106;20;20;BIJ01H;2028-12-30;NULL;46839;LENGKAP;342;1536;NULL;NULL
1108;96;96;TH033;2029-01-30;NULL;10259;LENGKAP;343;236;NULL;NULL
1110;48;48;K25005;2027-11-30;NULL;15090;LENGKAP;343;954;NULL;NULL
1111;12;12;K25005;2027-11-30;NULL;15090;LENGKAP;343;954;NULL;NULL
1112;100;100;JR1194;2028-10-30;NULL;9300;LENGKAP;343;1233;NULL;NULL
1113;120;120;5690518T;2028-12-30;NULL;5781;LENGKAP;344;596;NULL;NULL
1115;120;120;6690096T;2029-02-28;NULL;5781;LENGKAP;344;596;NULL;NULL
1116;120;120;6690097T;2029-02-28;NULL;5781;LENGKAP;344;596;NULL;NULL
1142;31;31;1EI173;2028-09-30;NULL;120000;LENGKAP;348;1639;NULL;NULL
1144;69;69;INA152;2029-01-31;NULL;120000;LENGKAP;348;1639;NULL;NULL
1145;152;152;A00442LC;2028-12-31;NULL;25000;LENGKAP;348;181;NULL;NULL
1149;100;100;C2860232;2028-10-01;NULL;13300;LENGKAP;350;1640;NULL;NULL
1150;500;500;O1860054;2029-10-01;NULL;2900;LENGKAP;350;720;NULL;NULL
1151;114;114;C0360081;2027-09-01;NULL;17100;LENGKAP;350;1185;NULL;NULL
1152;86;86;C0360082;2027-09-01;NULL;17100;LENGKAP;350;1185;NULL;NULL
1153;144;144;D0460022;2027-06-01;NULL;8600;LENGKAP;350;1641;NULL;NULL
1154;40;40;S3760045;2028-01-01;NULL;10800;LENGKAP;350;1223;NULL;NULL
1155;4;4;S3760045;2028-01-01;NULL;10800;LENGKAP;350;1223;NULL;NULL
1156;240;240;2601137;2028-01-21;NULL;5500;LENGKAP;351;969;NULL;NULL
1157;120;120;2509276;2027-09-25;NULL;4280;LENGKAP;351;542;NULL;NULL
