id;jumlah_barang_dipesan;jumlah_barang_keluar;batch;tgl_expired;keterangan;harga_jual;status_barang_keluar;jual_id;barang_id;created_at;updated_at
4117;50;50;LCH62454;2030-07-01;NULL;5222;LENGKAP;647;1227;NULL;NULL
4118;24;24;S2960055;2027-05-01;NULL;5850;LENGKAP;648;843;NULL;NULL
4119;125;125;K09002BE;2028-09-01;NULL;3330;LENGKAP;648;1021;NULL;NULL
4120;10;10;KPH41354;2028-07-01;NULL;115000;LENGKAP;648;791;NULL;NULL
4121;10;10;TSD38154;2027-03-01;NULL;140625;LENGKAP;648;1215;NULL;NULL
4122;1;1;PIJ92754;2027-08-01;NULL;250000;LENGKAP;648;72;NULL;NULL
4123;15;15;TSJ98454;2030-08-01;NULL;21416;LENGKAP;648;1044;NULL;NULL
4124;25;25;LCM04454;2027-11-01;NULL;5550;LENGKAP;648;1230;NULL;NULL
4125;2;2;KPE19954;2027-04-01;NULL;109890;LENGKAP;648;46;NULL;NULL
4126;1;1;KPF26354;2027-05-01;NULL;109890;LENGKAP;648;46;NULL;NULL
4127;2;2;KPF26454;2027-05-01;NULL;109890;LENGKAP;648;46;NULL;NULL
4128;1;1;PID93354;2030-03-01;NULL;187500;LENGKAP;648;60;NULL;NULL
4129;50;50;LCL92954;2030-10-01;NULL;4875;LENGKAP;648;1229;NULL;NULL
4130;1;1;E25F0258A;2027-06-30;NULL;237500;LENGKAP;648;885;NULL;NULL
4132;10;10;24010048;2026-12-31;NULL;20801;LENGKAP;649;82;NULL;NULL
4134;12;12;5X07181;2028-01-31;NULL;34385;LENGKAP;649;85;NULL;NULL
4135;24;24;5NK005;2027-10-31;NULL;11258;LENGKAP;649;1138;NULL;NULL
4136;24;24;256128;2027-06-30;NULL;16660;LENGKAP;649;1221;NULL;NULL
4137;12;12;2549031;2029-07-31;NULL;14736;LENGKAP;649;1181;NULL;NULL
4138;12;12;25FC009;2027-06-30;NULL;50400;LENGKAP;649;911;NULL;NULL
4139;1;1;25071771;2027-05-04;NULL;117583;LENGKAP;649;1136;NULL;NULL
4140;2;2;FX5A198;2030-07-31;NULL;211213;LENGKAP;649;949;NULL;NULL
4141;3;3;JX5A098;2030-10-31;NULL;211213;LENGKAP;649;949;NULL;NULL
4142;6;6;DX5A055;2027-04-30;NULL;267750;LENGKAP;649;1277;NULL;NULL
4143;12;12;5EI1937;2028-09-30;NULL;25950;LENGKAP;649;950;NULL;NULL
4144;5;5;56A0060;2029-02-28;NULL;31500;LENGKAP;649;947;NULL;NULL
4145;2;2;GX5A048;2027-07-31;NULL;70000;LENGKAP;650;104;NULL;NULL
4146;3;3;GX5A137;2027-08-31;NULL;70000;LENGKAP;650;102;NULL;NULL
4147;3;3;GX5A084;2027-07-31;NULL;70000;LENGKAP;650;103;NULL;NULL
4148;3;3;CX5A103;2027-04-30;NULL;70000;LENGKAP;650;99;NULL;NULL
4149;3;3;56E4100;2028-04-30;NULL;22477;LENGKAP;650;134;NULL;NULL
4150;3;3;56G4322;2027-06-30;NULL;146625;LENGKAP;650;122;NULL;NULL
4151;3;3;55I0779;2027-08-30;NULL;26250;LENGKAP;650;1019;NULL;NULL
4153;3;3;56E0623;2028-05-30;NULL;68000;LENGKAP;650;684;NULL;NULL
4154;48;48;M38250401;2030-03-01;NULL;7182;LENGKAP;650;148;NULL;NULL
